t_mono,t_wall,n_procs,client_rss_mb,workers_rss_mb,tree_rss_mb,tree_cpu_pct,sys_used_mb,sys_available_mb,swap_used_mb,net_recv_mb,net_sent_mb,disk_read_mb,workers
111001.4889,1788877302.6784,2,24.12,13.00,37.12,0.0,14602.7,41439.5,2371.8,5266.512,3021.334,70601.838,3189584:13
111001.5981,1788877302.7876,2,24.12,13.00,37.12,0.0,14598.3,41443.9,2371.8,5266.517,3021.400,70601.838,3189584:13
111001.7086,1788877302.8981,2,24.12,13.00,37.12,0.0,14599.3,41442.9,2371.8,5266.518,3021.438,70601.838,3189584:13
111001.8190,1788877303.0086,2,49.15,13.00,62.15,473.0,14609.5,41432.7,2371.8,5266.526,3021.785,70601.838,3189584:13
111001.9508,1788877303.1403,2,62.39,13.00,75.39,561.7,14620.8,41421.5,2371.8,5266.530,3021.905,70601.838,3189584:13
111002.0620,1788877303.2516,2,89.95,13.00,102.95,92.0,14635.8,41406.5,2371.8,5266.531,3021.905,70601.838,3189584:13
111002.1707,1788877303.3603,2,110.21,13.00,123.21,107.5,14656.7,41385.5,2371.8,5266.531,3021.905,70601.838,3189584:13
111002.2829,1788877303.4724,2,124.83,13.00,137.83,103.7,14664.3,41377.9,2371.8,5266.531,3021.905,70601.838,3189584:13
111002.3982,1788877303.5877,2,154.75,13.00,167.75,82.0,14675.1,41367.1,2371.8,5266.532,3021.906,70601.838,3189584:13
111002.5078,1788877303.6973,6,194.12,94.95,289.07,26.7,14724.0,41318.3,2371.8,5266.678,3021.909,70601.838,3189584:13;3189613:21;3189614:20;3189615:20;3189616:21
111002.6208,1788877303.8103,6,194.12,187.67,381.79,757.2,14785.7,41256.5,2371.8,5266.678,3021.909,70601.838,3189584:13;3189613:43;3189614:44;3189615:43;3189616:44
111002.7598,1788877303.9494,6,194.12,264.09,458.21,855.4,14804.1,41238.1,2371.8,5266.678,3021.909,70601.838,3189584:13;3189613:62;3189614:64;3189615:62;3189616:63
111002.8736,1788877304.0632,6,194.12,341.29,535.41,384.6,14875.0,41167.3,2371.8,5266.678,3021.909,70601.838,3189584:13;3189613:82;3189614:82;3189615:83;3189616:82
111002.9856,1788877304.1751,6,194.12,381.89,576.02,401.7,14916.3,41125.9,2371.8,5266.678,3021.909,70601.838,3189584:13;3189613:92;3189614:92;3189615:92;3189616:92
111003.0978,1788877304.2873,6,196.50,393.39,589.89,44.8,14920.9,41121.3,2371.8,5266.685,3021.912,70601.838,3189584:13;3189613:95;3189614:95;3189615:95;3189616:95
111003.2091,1788877304.3986,6,197.62,393.39,591.02,17.5,14924.8,41117.4,2371.8,5266.687,3021.913,70601.838,3189584:13;3189613:95;3189614:95;3189615:95;3189616:95
111003.3230,1788877304.5126,6,197.62,393.39,591.02,0.0,14924.8,41117.4,2371.8,5266.691,3021.914,70601.838,3189584:13;3189613:95;3189614:95;3189615:95;3189616:95
111003.4328,1788877304.6223,6,197.62,393.39,591.02,17.6,14925.1,41117.2,2371.8,5266.691,3021.914,70601.838,3189584:13;3189613:95;3189614:95;3189615:95;3189616:95
111003.5461,1788877304.7356,6,197.62,393.39,591.02,0.0,14925.1,41117.2,2371.8,5266.691,3021.914,70601.838,3189584:13;3189613:95;3189614:95;3189615:95;3189616:95
111003.6572,1788877304.8468,6,197.62,393.39,591.02,0.0,14948.4,41093.8,2371.8,5266.691,3021.915,70601.838,3189584:13;3189613:95;3189614:95;3189615:95;3189616:95
111003.7692,1788877304.9587,6,197.62,393.39,591.02,0.0,14948.4,41093.8,2371.8,5266.691,3021.915,70601.838,3189584:13;3189613:95;3189614:95;3189615:95;3189616:95
111003.8793,1788877305.0689,6,197.62,393.39,591.02,0.0,14948.7,41093.5,2371.8,5266.691,3021.915,70601.838,3189584:13;3189613:95;3189614:95;3189615:95;3189616:95
111003.9895,1788877305.1790,6,197.75,393.39,591.14,0.0,14948.7,41093.5,2371.8,5266.691,3021.915,70601.838,3189584:13;3189613:95;3189614:95;3189615:95;3189616:95
111004.1015,1788877305.2911,6,197.75,393.39,591.14,18.2,14948.7,41093.5,2371.8,5266.691,3021.915,70601.838,3189584:13;3189613:95;3189614:95;3189615:95;3189616:95
111004.2117,1788877305.4013,6,217.24,393.39,610.64,62.4,14972.1,41070.2,2371.8,5266.816,3021.916,70601.838,3189584:13;3189613:95;3189614:95;3189615:95;3189616:95
111004.3236,1788877305.5132,6,224.62,393.39,618.01,105.7,14972.8,41069.4,2371.8,5266.816,3021.917,70601.838,3189584:13;3189613:95;3189614:95;3189615:95;3189616:95
111004.4372,1788877305.6267,6,226.99,393.39,620.39,89.7,14973.0,41069.2,2371.8,5266.816,3021.917,70601.838,3189584:13;3189613:95;3189614:95;3189615:95;3189616:95
111004.5486,1788877305.7381,6,226.99,393.39,620.39,0.0,14974.0,41068.2,2371.8,5266.816,3021.917,70601.838,3189584:13;3189613:95;3189614:95;3189615:95;3189616:95
111004.6647,1788877305.8543,6,226.99,393.39,620.39,0.0,14974.0,41068.2,2371.8,5266.817,3021.918,70601.838,3189584:13;3189613:95;3189614:95;3189615:95;3189616:95
111004.7741,1788877305.9636,6,226.99,393.39,620.39,0.0,14974.0,41068.2,2371.8,5266.817,3021.918,70601.838,3189584:13;3189613:95;3189614:95;3189615:95;3189616:95
111004.8848,1788877306.0743,6,226.99,393.39,620.39,0.0,14974.0,41068.2,2371.8,5266.817,3021.918,70601.838,3189584:13;3189613:95;3189614:95;3189615:95;3189616:95
111004.9961,1788877306.1856,6,226.99,393.39,620.39,0.0,14974.0,41068.2,2371.8,5266.817,3021.918,70601.838,3189584:13;3189613:95;3189614:95;3189615:95;3189616:95
111005.1075,1788877306.2970,6,226.99,393.39,620.39,9.2,14974.0,41068.2,2371.8,5266.817,3021.918,70601.838,3189584:13;3189613:95;3189614:95;3189615:95;3189616:95
111005.2166,1788877306.4061,6,226.99,393.39,620.39,8.7,14973.0,41069.3,2371.8,5266.817,3021.918,70601.838,3189584:13;3189613:95;3189614:95;3189615:95;3189616:95
111005.3316,1788877306.5212,6,226.99,393.39,620.39,0.0,14977.6,41064.6,2371.8,5266.817,3021.918,70601.838,3189584:13;3189613:95;3189614:95;3189615:95;3189616:95
111005.4422,1788877306.6317,6,246.24,393.39,639.63,44.9,15000.7,41041.5,2371.8,5266.931,3021.919,70601.838,3189584:13;3189613:95;3189614:95;3189615:95;3189616:95
111005.5535,1788877306.7430,6,246.49,393.39,639.88,95.1,15000.7,41041.5,2371.8,5266.931,3021.919,70601.854,3189584:13;3189613:95;3189614:95;3189615:95;3189616:95
111005.6692,1788877306.8587,6,247.11,393.39,640.51,44.4,15000.7,41041.5,2371.8,5266.931,3021.920,70601.854,3189584:13;3189613:95;3189614:95;3189615:95;3189616:95
111005.7836,1788877306.9731,6,247.11,393.39,640.51,0.0,15000.7,41041.5,2371.8,5266.931,3021.920,70601.854,3189584:13;3189613:95;3189614:95;3189615:95;3189616:95
111005.8960,1788877307.0855,6,247.11,393.39,640.51,0.0,15001.2,41041.0,2371.8,5266.931,3021.920,70601.854,3189584:13;3189613:95;3189614:95;3189615:95;3189616:95
111006.0082,1788877307.1978,6,247.11,393.39,640.51,9.1,15001.2,41041.0,2371.8,5266.931,3021.921,70601.854,3189584:13;3189613:95;3189614:95;3189615:95;3189616:95
111006.1190,1788877307.3086,6,247.11,393.39,640.51,0.0,15001.2,41041.0,2371.8,5266.931,3021.921,70601.854,3189584:13;3189613:95;3189614:95;3189615:95;3189616:95
111006.2315,1788877307.4210,6,247.11,393.39,640.51,0.0,15001.2,41041.0,2371.8,5266.932,3021.925,70601.854,3189584:13;3189613:95;3189614:95;3189615:95;3189616:95
111006.3460,1788877307.5356,6,257.91,393.39,651.30,26.3,15004.8,41037.5,2371.8,5267.013,3021.926,70601.854,3189584:13;3189613:95;3189614:95;3189615:95;3189616:95
111006.4602,1788877307.6498,6,259.30,393.39,652.70,99.2,15014.1,41028.1,2371.8,5267.015,3021.928,70601.854,3189584:13;3189613:95;3189614:95;3189615:95;3189616:95
111006.5712,1788877307.7608,6,259.68,393.39,653.07,99.9,15014.8,41027.4,2371.8,5267.015,3021.928,70601.854,3189584:13;3189613:95;3189614:95;3189615:95;3189616:95
111006.6810,1788877307.8706,6,259.68,393.39,653.07,35.5,15014.8,41027.4,2371.8,5267.021,3021.930,70601.854,3189584:13;3189613:95;3189614:95;3189615:95;3189616:95
111006.7946,1788877307.9841,6,260.80,393.39,654.20,26.5,15022.4,41019.8,2371.8,5267.022,3021.930,70601.854,3189584:13;3189613:95;3189614:95;3189615:95;3189616:95
111006.9071,1788877308.0967,6,262.22,393.39,655.62,98.8,15022.4,41019.8,2371.8,5267.022,3021.931,70601.854,3189584:13;3189613:95;3189614:95;3189615:95;3189616:95
111007.0183,1788877308.2078,6,262.22,393.39,655.62,106.6,15022.4,41019.8,2371.8,5267.023,3021.931,70601.854,3189584:13;3189613:95;3189614:95;3189615:95;3189616:95
111007.1307,1788877308.3202,6,263.64,393.39,657.04,107.5,15023.2,41019.1,2371.8,5267.023,3021.931,70601.854,3189584:13;3189613:95;3189614:95;3189615:95;3189616:95
111007.2424,1788877308.4320,6,265.64,393.39,659.04,90.9,15026.9,41015.4,2371.8,5267.023,3021.931,70601.854,3189584:13;3189613:95;3189614:95;3189615:95;3189616:95
111007.3524,1788877308.5419,6,272.52,393.39,665.91,108.8,15030.8,41011.4,2371.8,5267.023,3021.931,70601.854,3189584:13;3189613:95;3189614:95;3189615:95;3189616:95
111007.4627,1788877308.6523,6,275.39,393.39,668.79,99.2,15034.7,41007.5,2371.8,5267.023,3021.931,70601.854,3189584:13;3189613:95;3189614:95;3189615:95;3189616:95
111007.5736,1788877308.7631,6,278.00,393.39,671.39,108.5,15038.7,41003.6,2371.8,5267.023,3021.931,70601.854,3189584:13;3189613:95;3189614:95;3189615:95;3189616:95
111007.6844,1788877308.8739,6,281.25,393.39,674.65,98.3,15038.7,41003.6,2371.8,5267.023,3021.931,70601.854,3189584:13;3189613:95;3189614:95;3189615:95;3189616:95
111007.7971,1788877308.9866,6,286.57,393.39,679.96,106.0,15046.5,40995.7,2371.8,5267.023,3021.931,70601.854,3189584:13;3189613:95;3189614:95;3189615:95;3189616:95
111007.9095,1788877309.0991,6,286.54,393.39,679.93,96.3,15046.5,40995.7,2371.8,5267.023,3021.931,70601.854,3189584:13;3189613:95;3189614:95;3189615:95;3189616:95
111008.0235,1788877309.2131,6,286.54,393.39,679.93,99.0,15046.5,40995.7,2371.8,5267.024,3021.931,70601.854,3189584:13;3189613:95;3189614:95;3189615:95;3189616:95
111008.1349,1788877309.3244,6,292.20,393.39,685.60,99.1,15052.9,40989.3,2371.8,5267.024,3021.931,70601.854,3189584:13;3189613:95;3189614:95;3189615:95;3189616:95
111008.2456,1788877309.4352,6,295.85,393.39,689.24,98.8,15072.4,40969.8,2371.8,5267.024,3021.931,70601.854,3189584:13;3189613:95;3189614:95;3189615:95;3189616:95
111008.3569,1788877309.5464,6,299.22,393.39,692.62,99.5,15072.4,40969.8,2371.8,5267.024,3021.931,70601.854,3189584:13;3189613:95;3189614:95;3189615:95;3189616:95
111008.4677,1788877309.6573,6,300.60,393.39,693.99,100.2,15072.4,40969.8,2371.8,5267.024,3021.931,70601.854,3189584:13;3189613:95;3189614:95;3189615:95;3189616:95
111008.5773,1788877309.7669,6,303.73,393.39,697.12,100.0,15072.4,40969.8,2371.8,5267.024,3021.931,70601.854,3189584:13;3189613:95;3189614:95;3189615:95;3189616:95
111008.6877,1788877309.8773,6,320.10,393.39,713.49,108.1,15080.0,40962.2,2371.8,5267.024,3021.931,70601.854,3189584:13;3189613:95;3189614:95;3189615:95;3189616:95
111008.7989,1788877309.9885,6,367.19,393.39,760.58,152.4,15137.3,40904.9,2371.8,5267.024,3021.931,70601.854,3189584:13;3189613:95;3189614:95;3189615:95;3189616:95
111008.9100,1788877310.0995,6,346.90,434.32,781.22,199.4,15158.3,40883.9,2371.8,5267.024,3021.931,70601.854,3189584:13;3189613:105;3189614:105;3189615:105;3189616:106
111009.0203,1788877310.2099,6,346.90,568.20,915.10,435.3,15203.6,40838.7,2371.8,5267.024,3021.932,70601.854,3189584:13;3189613:139;3189614:138;3189615:139;3189616:139
111009.1330,1788877310.3225,6,347.90,637.86,985.75,366.1,15251.0,40791.2,2371.8,5267.026,3021.933,70601.854,3189584:13;3189613:152;3189614:152;3189615:167;3189616:153
111009.2452,1788877310.4347,6,347.90,640.69,988.59,188.8,15267.3,40774.9,2371.8,5267.030,3021.950,70601.854,3189584:13;3189613:157;3189614:155;3189615:159;3189616:157
111009.3562,1788877310.5457,6,347.90,640.69,988.59,0.0,15267.3,40774.9,2371.8,5267.030,3021.950,70601.854,3189584:13;3189613:157;3189614:155;3189615:159;3189616:157
111009.4653,1788877310.6548,6,347.90,642.31,990.21,27.3,15267.5,40774.7,2371.8,5267.096,3021.964,70601.854,3189584:13;3189613:157;3189614:156;3189615:159;3189616:157
111009.5753,1788877310.7648,6,347.90,642.81,990.71,0.0,15267.5,40774.7,2371.8,5267.196,3021.968,70601.854,3189584:13;3189613:157;3189614:156;3189615:159;3189616:157
111009.6873,1788877310.8768,6,347.90,642.94,990.84,0.0,15267.5,40774.7,2371.8,5267.503,3021.981,70601.854,3189584:13;3189613:157;3189614:156;3189615:159;3189616:157
111009.7985,1788877310.9881,6,347.90,642.94,990.84,9.0,15267.5,40774.7,2371.8,5267.503,3021.981,70601.854,3189584:13;3189613:157;3189614:156;3189615:159;3189616:157
111009.9080,1788877311.0975,6,347.90,657.83,1005.73,36.5,15274.9,40767.3,2371.8,5267.622,3021.989,70601.854,3189584:13;3189613:157;3189614:156;3189615:160;3189616:172
111010.0173,1788877311.2068,6,347.90,728.14,1076.04,160.5,15344.3,40698.0,2371.8,5267.689,3021.993,70601.854,3189584:13;3189613:177;3189614:176;3189615:177;3189616:185
111010.1296,1788877311.3191,6,347.90,723.51,1071.41,653.5,15414.9,40627.3,2371.8,5268.096,3022.007,70601.854,3189584:13;3189613:176;3189614:170;3189615:177;3189616:188
111010.2428,1788877311.4323,6,347.90,704.36,1052.26,9.0,15415.7,40626.5,2371.8,5268.151,3022.009,70601.854,3189584:13;3189613:159;3189614:176;3189615:177;3189616:180
111010.3534,1788877311.5430,6,347.90,704.36,1052.26,9.2,15415.7,40626.5,2371.8,5268.184,3022.024,70601.854,3189584:13;3189613:159;3189614:176;3189615:177;3189616:180
111010.4628,1788877311.6523,6,347.90,704.36,1052.26,0.0,15415.7,40626.6,2371.8,5268.187,3022.054,70601.854,3189584:13;3189613:159;3189614:176;3189615:177;3189616:180
111010.5738,1788877311.7633,6,347.90,706.80,1054.70,27.3,15415.7,40626.6,2371.8,5268.484,3022.066,70601.854,3189584:13;3189613:159;3189614:177;3189615:178;3189616:180
111010.6829,1788877311.8724,6,347.90,724.29,1072.18,63.6,15415.7,40626.6,2371.8,5268.789,3022.074,70601.854,3189584:13;3189613:175;3189614:177;3189615:178;3189616:180
111010.7930,1788877311.9825,6,347.90,725.14,1073.04,18.0,15416.4,40625.8,2371.8,5269.422,3022.093,70601.854,3189584:13;3189613:175;3189614:177;3189615:179;3189616:181
111010.9044,1788877312.0940,6,347.90,725.14,1073.04,9.1,15416.4,40625.8,2371.8,5269.539,3022.095,70601.854,3189584:13;3189613:175;3189614:177;3189615:179;3189616:181
111011.0144,1788877312.2039,6,347.90,725.27,1073.16,9.0,15416.4,40625.8,2371.8,5269.757,3022.099,70601.854,3189584:13;3189613:176;3189614:177;3189615:179;3189616:181
111011.1259,1788877312.3155,6,347.90,725.39,1073.29,9.2,15416.4,40625.8,2371.8,5269.773,3022.103,70601.854,3189584:13;3189613:176;3189614:177;3189615:179;3189616:181
111011.2350,1788877312.4245,6,347.90,727.39,1075.29,36.2,15416.4,40625.8,2371.8,5270.050,3022.113,70601.854,3189584:13;3189613:178;3189614:177;3189615:179;3189616:181
111011.3472,1788877312.5368,6,347.90,728.01,1075.91,0.0,15416.4,40625.8,2371.8,5270.189,3022.116,70601.854,3189584:13;3189613:178;3189614:178;3189615:179;3189616:181
111011.4584,1788877312.6480,6,347.90,728.21,1076.11,9.2,15416.6,40625.6,2371.8,5270.284,3022.126,70601.854,3189584:13;3189613:178;3189614:178;3189615:179;3189616:181
111011.5676,1788877312.7572,6,347.90,728.21,1076.11,9.1,15416.6,40625.6,2371.8,5270.314,3022.127,70601.857,3189584:13;3189613:178;3189614:178;3189615:179;3189616:181
111011.6772,1788877312.8667,6,347.90,729.22,1077.12,71.9,15416.6,40625.6,2371.8,5270.717,3022.141,70601.857,3189584:13;3189613:179;3189614:178;3189615:179;3189616:181
111011.7886,1788877312.9781,6,347.90,729.22,1077.12,0.0,15416.6,40625.6,2371.8,5270.717,3022.142,70601.857,3189584:13;3189613:179;3189614:178;3189615:179;3189616:181
111011.8976,1788877313.0871,6,347.90,730.14,1078.04,18.2,15417.4,40624.9,2371.8,5271.170,3022.156,70601.857,3189584:13;3189613:180;3189614:178;3189615:179;3189616:181
111012.0080,1788877313.1975,6,347.90,730.66,1078.55,17.8,15417.4,40624.9,2371.8,5271.173,3022.158,70601.857,3189584:13;3189613:180;3189614:178;3189615:179;3189616:181
111012.1199,1788877313.3094,6,347.90,732.30,1080.20,61.4,15418.1,40624.1,2371.8,5271.201,3022.165,70601.857,3189584:13;3189613:182;3189614:178;3189615:179;3189616:181
111012.2339,1788877313.4234,6,347.90,732.43,1080.32,0.0,15418.1,40624.1,2371.8,5271.202,3022.167,70601.857,3189584:13;3189613:182;3189614:178;3189615:179;3189616:181
111012.3439,1788877313.5334,6,347.90,732.96,1080.86,27.3,15418.1,40624.1,2371.8,5271.781,3022.182,70601.861,3189584:13;3189613:182;3189614:178;3189615:179;3189616:181
111012.4535,1788877313.6430,6,347.90,732.96,1080.86,0.0,15411.4,40630.8,2371.8,5271.787,3022.183,70601.861,3189584:13;3189613:182;3189614:178;3189615:179;3189616:181
111012.5650,1788877313.7545,6,347.90,733.20,1081.10,18.2,15411.4,40630.8,2371.8,5272.033,3022.192,70601.861,3189584:13;3189613:183;3189614:178;3189615:179;3189616:181
111012.6744,1788877313.8639,6,347.90,734.59,1082.49,44.3,15412.4,40629.8,2371.8,5272.221,3022.197,70601.861,3189584:13;3189613:184;3189614:178;3189615:179;3189616:181
111012.7876,1788877313.9771,6,347.90,735.32,1083.21,27.1,15412.4,40629.8,2371.8,5272.696,3022.206,70601.861,3189584:13;3189613:184;3189614:178;3189615:179;3189616:181
111012.8984,1788877314.0879,6,347.90,735.45,1083.35,9.1,15405.9,40636.3,2371.8,5272.699,3022.211,70601.861,3189584:13;3189613:184;3189614:178;3189615:179;3189616:181
111013.0076,1788877314.1971,6,347.90,739.21,1087.11,82.5,15406.1,40636.1,2371.8,5272.781,3022.223,70601.861,3189584:13;3189613:186;3189614:181;3189615:179;3189616:181
111013.1171,1788877314.3067,6,347.90,739.21,1087.11,9.1,15405.9,40636.3,2371.8,5272.781,3022.225,70601.861,3189584:13;3189613:186;3189614:181;3189615:179;3189616:181
111013.2263,1788877314.4158,6,347.90,741.09,1088.98,81.3,15406.1,40636.1,2371.8,5272.845,3022.238,70601.861,3189584:13;3189613:188;3189614:181;3189615:179;3189616:181
111013.3372,1788877314.5267,6,347.90,742.11,1090.01,18.3,15406.1,40636.1,2371.8,5272.851,3022.241,70601.865,3189584:13;3189613:188;3189614:181;3189615:179;3189616:181
111013.4465,1788877314.6360,6,347.90,744.59,1092.48,108.1,15405.0,40637.3,2371.8,5273.340,3022.267,70601.865,3189584:13;3189613:190;3189614:181;3189615:179;3189616:181
111013.5575,1788877314.7471,6,347.90,744.45,1092.35,9.0,15405.2,40637.0,2371.8,5273.524,3022.271,70601.865,3189584:13;3189613:190;3189614:181;3189615:179;3189616:181
111013.6689,1788877314.8584,6,347.90,745.80,1093.70,81.0,15405.5,40636.8,2371.8,5274.045,3022.294,70601.865,3189584:13;3189613:191;3189614:181;3189615:179;3189616:181
111013.7802,1788877314.9698,6,347.90,746.05,1093.95,9.0,15405.7,40636.5,2371.8,5274.072,3022.298,70601.865,3189584:13;3189613:191;3189614:181;3189615:179;3189616:181
111013.8907,1788877315.0802,6,347.90,747.73,1095.63,90.7,15403.9,40638.3,2371.8,5274.462,3022.319,70601.865,3189584:13;3189613:193;3189614:181;3189615:179;3189616:182
111014.0023,1788877315.1918,6,347.90,747.98,1095.88,17.8,15404.1,40638.1,2371.8,5274.485,3022.322,70601.865,3189584:13;3189613:193;3189614:181;3189615:179;3189616:182
111014.1129,1788877315.3024,6,347.90,749.22,1097.12,54.2,15404.4,40637.8,2371.8,5275.177,3022.345,70601.865,3189584:13;3189613:194;3189614:182;3189615:179;3189616:182
111014.2240,1788877315.4136,6,347.90,749.35,1097.25,9.1,15404.4,40637.8,2371.8,5275.211,3022.348,70601.865,3189584:13;3189613:194;3189614:182;3189615:179;3189616:182
111014.3342,1788877315.5237,6,347.90,751.29,1099.18,62.5,15405.1,40637.1,2371.8,5275.966,3022.374,70601.865,3189584:13;3189613:195;3189614:182;3189615:179;3189616:182
111014.4460,1788877315.6355,6,347.90,751.29,1099.18,8.9,15405.4,40636.8,2371.8,5276.014,3022.376,70601.865,3189584:13;3189613:195;3189614:182;3189615:179;3189616:182
111014.5577,1788877315.7473,6,347.90,752.10,1100.00,36.3,15406.1,40636.1,2371.8,5276.661,3022.397,70601.865,3189584:13;3189613:196;3189614:182;3189615:179;3189616:182
111014.6677,1788877315.8572,6,347.90,752.10,1100.00,0.0,15406.1,40636.1,2371.8,5276.661,3022.397,70601.865,3189584:13;3189613:196;3189614:182;3189615:179;3189616:182
111014.7773,1788877315.9668,6,347.90,753.24,1101.14,36.5,15408.1,40634.1,2371.8,5277.271,3022.421,70601.865,3189584:13;3189613:196;3189614:182;3189615:179;3189616:183
111014.8874,1788877316.0769,6,347.90,753.23,1101.13,9.0,15403.9,40638.3,2371.8,5277.280,3022.423,70601.865,3189584:13;3189613:196;3189614:182;3189615:179;3189616:183
111014.9983,1788877316.1878,6,347.90,753.49,1101.39,27.0,15402.8,40639.4,2371.8,5277.714,3022.432,70601.865,3189584:13;3189613:196;3189614:182;3189615:179;3189616:183
111015.1095,1788877316.2990,6,347.90,754.19,1102.09,36.2,15402.8,40639.4,2371.8,5277.852,3022.439,70601.865,3189584:13;3189613:197;3189614:182;3189615:179;3189616:183
111015.2204,1788877316.4099,6,347.90,754.67,1102.57,27.3,15402.8,40639.4,2371.8,5278.489,3022.454,70601.865,3189584:13;3189613:197;3189614:182;3189615:179;3189616:183
111015.3297,1788877316.5192,6,347.90,754.67,1102.57,9.1,15402.8,40639.4,2371.8,5278.489,3022.454,70601.865,3189584:13;3189613:197;3189614:182;3189615:179;3189616:183
111015.4398,1788877316.6294,6,347.90,755.45,1103.35,27.3,15403.8,40638.5,2371.8,5279.106,3022.476,70601.865,3189584:13;3189613:198;3189614:183;3189615:180;3189616:183
111015.5491,1788877316.7387,6,347.90,755.45,1103.35,0.0,15403.8,40638.5,2371.8,5279.106,3022.477,70601.865,3189584:13;3189613:198;3189614:183;3189615:180;3189616:183
111015.6589,1788877316.8484,6,347.90,755.70,1103.60,18.2,15403.8,40638.5,2371.8,5279.658,3022.491,70601.865,3189584:13;3189613:198;3189614:183;3189615:180;3189616:183
111015.7692,1788877316.9587,6,347.90,755.70,1103.60,0.0,15403.8,40638.5,2371.8,5279.673,3022.492,70601.865,3189584:13;3189613:198;3189614:183;3189615:180;3189616:183
111015.8788,1788877317.0684,6,347.90,755.95,1103.85,0.0,15402.0,40640.2,2371.8,5279.874,3022.497,70601.865,3189584:13;3189613:198;3189614:183;3189615:180;3189616:183
111015.9896,1788877317.1791,6,347.90,755.95,1103.85,0.0,15400.0,40642.2,2371.8,5279.931,3022.499,70601.865,3189584:13;3189613:198;3189614:183;3189615:180;3189616:183
111016.0988,1788877317.2883,6,347.90,755.95,1103.85,0.0,15396.3,40645.9,2371.8,5279.931,3022.499,70601.865,3189584:13;3189613:198;3189614:183;3189615:180;3189616:183
111016.2109,1788877317.4005,6,347.90,756.61,1104.50,8.9,15396.0,40646.2,2371.8,5280.137,3022.507,70601.865,3189584:13;3189613:198;3189614:183;3189615:180;3189616:183
111016.3238,1788877317.5134,6,347.90,756.61,1104.50,0.0,15396.0,40646.2,2371.8,5280.137,3022.507,70601.865,3189584:13;3189613:198;3189614:183;3189615:180;3189616:183
111016.4348,1788877317.6244,6,347.90,756.36,1104.26,9.1,15396.0,40646.2,2371.8,5280.476,3022.516,70601.865,3189584:13;3189613:198;3189614:183;3189615:180;3189616:183
111016.5451,1788877317.7346,6,347.90,756.15,1104.05,9.2,15395.5,40646.7,2371.8,5280.663,3022.521,70601.865,3189584:13;3189613:198;3189614:183;3189615:180;3189616:183
111016.6539,1788877317.8435,6,347.90,756.25,1104.15,0.0,15395.5,40646.7,2371.8,5280.800,3022.524,70601.865,3189584:13;3189613:198;3189614:183;3189615:180;3189616:183
111016.7638,1788877317.9534,6,347.90,757.31,1105.21,26.8,15395.5,40646.7,2371.8,5281.507,3022.542,70601.865,3189584:13;3189613:198;3189614:183;3189615:181;3189616:183
111016.8755,1788877318.0651,6,347.90,757.31,1105.21,9.0,15390.8,40651.4,2371.8,5281.507,3022.542,70601.865,3189584:13;3189613:198;3189614:183;3189615:181;3189616:183
111016.9863,1788877318.1758,6,347.90,757.65,1105.55,18.0,15390.8,40651.4,2371.8,5282.162,3022.557,70601.865,3189584:13;3189613:198;3189614:183;3189615:181;3189616:183
111017.0980,1788877318.2875,6,347.90,757.65,1105.55,18.2,15385.9,40656.3,2371.8,5282.163,3022.557,70601.865,3189584:13;3189613:198;3189614:183;3189615:181;3189616:183
111017.2067,1788877318.3963,6,347.90,757.67,1105.57,44.0,15385.9,40656.3,2371.8,5282.737,3022.576,70601.865,3189584:13;3189613:198;3189614:183;3189615:181;3189616:183
111017.3202,1788877318.5097,6,347.90,757.67,1105.57,0.0,15385.9,40656.3,2371.8,5282.737,3022.576,70601.865,3189584:13;3189613:198;3189614:183;3189615:181;3189616:183
111017.4317,1788877318.6213,6,347.90,758.11,1106.01,17.7,15385.9,40656.3,2371.8,5283.066,3022.585,70601.865,3189584:13;3189613:198;3189614:183;3189615:181;3189616:183
111017.5447,1788877318.7342,6,347.90,758.11,1106.01,0.0,15385.9,40656.3,2371.8,5283.066,3022.586,70601.865,3189584:13;3189613:198;3189614:183;3189615:181;3189616:183
111017.6568,1788877318.8463,6,347.90,758.36,1106.26,18.2,15385.9,40656.3,2371.8,5283.157,3022.589,70601.865,3189584:13;3189613:198;3189614:183;3189615:181;3189616:183
111017.7697,1788877318.9592,6,347.90,758.36,1106.26,0.0,15386.1,40656.1,2371.8,5283.157,3022.589,70601.865,3189584:13;3189613:198;3189614:183;3189615:181;3189616:183
111017.8841,1788877319.0737,6,347.90,758.36,1106.26,0.0,15378.3,40663.9,2371.8,5283.157,3022.590,70601.865,3189584:13;3189613:198;3189614:183;3189615:181;3189616:183
111017.9942,1788877319.1837,6,347.90,759.95,1107.85,45.5,15373.1,40669.1,2371.8,5283.735,3022.607,70601.865,3189584:13;3189613:200;3189614:183;3189615:181;3189616:184
111018.1036,1788877319.2931,6,347.90,760.02,1107.92,18.0,15372.9,40669.3,2371.8,5283.826,3022.611,70601.865,3189584:13;3189613:200;3189614:183;3189615:181;3189616:184
111018.2157,1788877319.4052,6,347.90,760.17,1108.07,27.0,15372.9,40669.3,2371.8,5284.339,3022.626,70601.865,3189584:13;3189613:200;3189614:183;3189615:181;3189616:183
111018.3260,1788877319.5156,6,347.90,761.07,1108.96,35.7,15371.7,40670.5,2371.8,5284.688,3022.644,70601.865,3189584:13;3189613:200;3189614:183;3189615:181;3189616:184
