t_mono,t_wall,n_procs,client_rss_mb,workers_rss_mb,tree_rss_mb,tree_cpu_pct,sys_used_mb,sys_available_mb,swap_used_mb,net_recv_mb,net_sent_mb,disk_read_mb,workers
42.7647,1788885354.7880,2,23.00,12.23,35.23,0.0,1078.2,62175.3,0.0,154.418,0.472,302.499,1766:12
42.8682,1788885354.8916,2,23.00,12.23,35.23,0.0,1078.3,62175.2,0.0,154.418,0.472,302.499,1766:12
42.9718,1788885354.9952,2,23.23,12.23,35.46,0.0,1078.3,62175.2,0.0,154.418,0.472,302.499,1766:12
43.0754,1788885355.0988,2,36.56,12.23,48.79,106.3,1082.0,62171.4,0.0,154.418,0.472,302.499,1766:12
43.1788,1788885355.2022,2,39.50,12.23,51.73,96.7,1085.6,62167.9,0.0,154.418,0.472,302.554,1766:12
43.2830,1788885355.3064,2,52.35,12.23,64.58,395.1,1087.2,62166.3,0.0,154.418,0.472,302.698,1766:12
43.3913,1788885355.4147,2,55.56,12.23,67.79,1119.3,1090.7,62162.8,0.0,154.418,0.472,302.698,1766:12
43.4947,1788885355.5181,2,60.80,12.23,73.03,106.4,1096.1,62157.4,0.0,154.418,0.472,302.698,1766:12
43.5981,1788885355.6215,2,64.54,12.23,76.76,77.2,1095.4,62158.1,0.0,154.418,0.472,304.374,1766:12
43.7017,1788885355.7251,2,72.25,12.23,84.48,96.6,1102.8,62150.6,0.0,154.418,0.472,304.374,1766:12
43.8053,1788885355.8286,2,75.27,12.23,87.50,96.6,1102.9,62150.6,0.0,154.418,0.472,304.456,1766:12
43.9088,1788885355.9322,2,77.26,12.23,89.49,96.6,1105.8,62147.7,0.0,154.418,0.472,304.456,1766:12
44.0123,1788885356.0357,2,78.89,12.23,91.12,77.3,1105.2,62148.3,0.0,154.418,0.472,305.335,1766:12
44.1158,1788885356.1391,2,90.95,12.23,103.18,96.7,1110.8,62142.7,0.0,154.418,0.472,305.390,1766:12
44.2192,1788885356.2426,2,99.55,12.23,111.77,106.3,1122.1,62131.4,0.0,154.418,0.472,305.390,1766:12
44.3226,1788885356.3460,2,100.39,12.23,112.62,96.7,1121.7,62131.8,0.0,154.418,0.472,305.390,1766:12
44.4261,1788885356.4495,2,110.24,12.23,122.46,106.3,1133.0,62120.4,0.0,154.418,0.472,305.390,1766:12
44.5296,1788885356.5529,2,110.82,12.23,123.05,96.7,1132.7,62120.8,0.0,154.418,0.472,305.390,1766:12
44.6330,1788885356.6564,2,111.45,12.23,123.68,96.7,1132.8,62120.7,0.0,154.418,0.472,305.511,1766:12
44.7365,1788885356.7598,2,113.04,12.23,125.26,106.4,1132.4,62121.1,0.0,154.418,0.472,305.511,1766:12
44.8399,1788885356.8633,2,115.49,12.23,127.72,96.7,1132.3,62121.2,0.0,154.418,0.472,305.511,1766:12
44.9433,1788885356.9667,2,117.68,12.23,129.90,96.7,1135.7,62117.7,0.0,154.418,0.472,305.585,1766:12
45.0467,1788885357.0701,2,120.14,12.23,132.37,87.0,1137.1,62116.4,0.0,154.418,0.472,305.585,1766:12
45.1501,1788885357.1735,2,130.76,12.23,142.99,106.3,1150.0,62103.4,0.0,154.418,0.472,305.585,1766:12
45.2536,1788885357.2769,2,129.64,12.23,141.86,106.4,1150.1,62103.4,0.0,154.418,0.472,305.585,1766:12
45.3569,1788885357.3803,2,131.11,12.23,143.33,87.1,1150.1,62103.4,0.0,154.418,0.472,305.585,1766:12
45.4603,1788885357.4837,2,131.94,12.23,144.17,106.3,1150.1,62103.4,0.0,154.418,0.472,305.585,1766:12
45.5637,1788885357.5871,2,138.58,12.23,150.81,96.7,1149.1,62104.4,0.0,154.418,0.472,305.585,1766:12
45.6671,1788885357.6905,2,144.73,12.23,156.95,106.3,1150.7,62102.8,0.0,154.418,0.472,305.585,1766:12
45.7706,1788885357.7940,2,174.29,12.23,186.52,96.7,1159.8,62093.7,0.0,154.418,0.472,305.585,1766:12
45.8741,1788885357.8975,2,180.76,12.23,192.98,96.6,1159.4,62094.1,0.0,154.418,0.472,305.776,1766:12
45.9776,1788885358.0009,2,183.98,12.23,196.21,96.7,1162.7,62090.7,0.0,154.418,0.472,305.776,1766:12
46.0810,1788885358.1044,2,185.04,12.23,197.26,38.6,1162.6,62090.9,0.0,154.424,0.474,305.776,1766:12
46.1845,1788885358.2079,2,185.04,12.23,197.26,0.0,1162.6,62090.9,0.0,154.555,0.475,305.776,1766:12
46.2879,1788885358.3113,6,238.33,102.04,340.37,48.2,1219.5,62034.0,0.0,154.563,0.475,305.780,1766:12;1792:22;1793:22;1794:23;1795:22
46.4000,1788885358.4234,6,238.33,203.66,441.99,739.4,1262.4,61991.1,0.0,154.563,0.475,305.780,1766:12;1792:48;1793:48;1794:48;1795:48
46.5180,1788885358.5413,6,238.33,266.09,504.42,1103.8,1291.0,61962.5,0.0,154.563,0.475,305.780,1766:12;1792:64;1793:63;1794:63;1795:64
46.6219,1788885358.6453,6,238.33,343.77,582.10,423.3,1359.7,61893.8,0.0,154.563,0.475,305.780,1766:12;1792:83;1793:82;1794:83;1795:83
46.7258,1788885358.7492,6,238.33,397.44,635.77,394.8,1418.8,61834.6,0.0,154.563,0.475,305.780,1766:12;1792:96;1793:96;1794:96;1795:96
46.8297,1788885358.8531,6,242.41,420.22,662.62,221.3,1431.0,61822.5,0.0,154.564,0.476,305.780,1766:12;1792:102;1793:102;1794:102;1795:102
46.9337,1788885358.9571,6,242.41,420.22,662.62,9.6,1431.0,61822.5,0.0,154.570,0.477,305.780,1766:12;1792:102;1793:102;1794:102;1795:102
47.0375,1788885359.0609,6,243.08,420.22,663.30,48.2,1430.8,61822.6,0.0,154.570,0.478,305.780,1766:12;1792:102;1793:102;1794:102;1795:102
47.1413,1788885359.1647,6,243.81,420.22,664.03,19.2,1430.8,61822.7,0.0,154.581,0.479,305.800,1766:12;1792:102;1793:102;1794:102;1795:102
47.2453,1788885359.2686,6,244.61,420.22,664.83,9.6,1430.8,61822.7,0.0,154.591,0.480,305.800,1766:12;1792:102;1793:102;1794:102;1795:102
47.3492,1788885359.3726,6,245.43,420.22,665.65,9.6,1430.8,61822.7,0.0,154.602,0.480,305.800,1766:12;1792:102;1793:102;1794:102;1795:102
47.4532,1788885359.4765,6,246.23,420.22,666.45,9.6,1430.8,61822.7,0.0,154.612,0.481,305.800,1766:12;1792:102;1793:102;1794:102;1795:102
47.5571,1788885359.5804,6,247.06,420.22,667.28,9.6,1430.8,61822.7,0.0,154.623,0.482,305.800,1766:12;1792:102;1793:102;1794:102;1795:102
47.6610,1788885359.6844,6,247.88,420.22,668.09,19.2,1431.8,61821.7,0.0,154.633,0.483,305.800,1766:12;1792:102;1793:102;1794:102;1795:102
47.7649,1788885359.7883,6,248.70,420.22,668.92,9.6,1432.8,61820.7,0.0,154.644,0.484,305.800,1766:12;1792:102;1793:102;1794:102;1795:102
47.8689,1788885359.8923,6,249.52,420.23,669.76,9.6,1433.5,61820.0,0.0,154.654,0.484,305.800,1766:12;1792:102;1793:102;1794:102;1795:102
47.9730,1788885359.9964,6,251.14,420.23,671.38,19.2,1434.7,61818.7,0.0,154.675,0.486,305.800,1766:12;1792:102;1793:102;1794:102;1795:102
48.0769,1788885360.1003,6,251.96,420.23,672.20,9.6,1434.5,61818.9,0.0,154.686,0.487,305.800,1766:12;1792:102;1793:102;1794:102;1795:102
48.1808,1788885360.2042,6,252.77,420.23,673.00,9.6,1435.5,61817.9,0.0,154.696,0.488,305.800,1766:12;1792:102;1793:102;1794:102;1795:102
48.2847,1788885360.3081,6,253.59,420.23,673.82,19.2,1436.3,61817.2,0.0,154.707,0.488,305.800,1766:12;1792:102;1793:102;1794:102;1795:102
48.3886,1788885360.4120,6,254.40,420.23,674.63,9.6,1437.2,61816.2,0.0,154.717,0.489,305.800,1766:12;1792:102;1793:102;1794:102;1795:102
48.4925,1788885360.5159,6,255.50,420.23,675.74,19.3,1438.0,61815.5,0.0,154.738,0.490,305.800,1766:12;1792:102;1793:102;1794:102;1795:102
48.5964,1788885360.6198,6,256.99,420.23,677.23,28.9,1439.5,61814.0,0.0,154.749,0.491,305.800,1766:12;1792:102;1793:102;1794:102;1795:102
48.7003,1788885360.7237,6,256.84,420.23,677.07,38.5,1439.7,61813.8,0.0,154.749,0.492,305.800,1766:12;1792:102;1793:102;1794:102;1795:102
48.8043,1788885360.8277,6,257.58,420.24,677.82,9.6,1440.4,61813.0,0.0,154.759,0.492,305.800,1766:12;1792:102;1793:102;1794:102;1795:102
48.9082,1788885360.9315,6,258.40,420.24,678.64,9.6,1441.2,61812.3,0.0,154.770,0.493,305.800,1766:12;1792:102;1793:102;1794:102;1795:102
49.0119,1788885361.0353,6,259.21,420.24,679.45,9.6,1440.0,61813.5,0.0,154.780,0.494,305.800,1766:12;1792:102;1793:102;1794:102;1795:102
49.1158,1788885361.1391,6,260.02,420.24,680.26,9.6,1440.6,61812.9,0.0,154.791,0.495,305.800,1766:12;1792:102;1793:102;1794:102;1795:102
49.2195,1788885361.2429,6,260.83,420.24,681.07,9.6,1441.3,61812.1,0.0,154.801,0.496,305.800,1766:12;1792:102;1793:102;1794:102;1795:102
49.3232,1788885361.3466,6,261.65,420.24,681.89,9.6,1442.1,61811.4,0.0,154.812,0.497,305.800,1766:12;1792:102;1793:102;1794:102;1795:102
49.4272,1788885361.4506,6,262.47,420.24,682.71,19.2,1442.6,61810.9,0.0,154.822,0.497,305.800,1766:12;1792:102;1793:102;1794:102;1795:102
49.5312,1788885361.5545,6,263.27,420.24,683.52,9.6,1443.6,61809.9,0.0,154.832,0.498,305.800,1766:12;1792:102;1793:102;1794:102;1795:102
49.6351,1788885361.6585,6,264.09,420.24,684.33,9.6,1444.5,61808.9,0.0,154.843,0.499,305.800,1766:12;1792:102;1793:102;1794:102;1795:102
49.7391,1788885361.7625,6,264.90,420.24,685.14,9.6,1445.3,61808.2,0.0,154.853,0.500,305.800,1766:12;1792:102;1793:102;1794:102;1795:102
49.8431,1788885361.8665,6,265.71,420.25,685.96,9.6,1446.3,61807.2,0.0,154.864,0.501,305.800,1766:12;1792:102;1793:102;1794:102;1795:102
49.9472,1788885361.9706,6,266.53,420.25,686.78,19.2,1447.0,61806.5,0.0,154.874,0.501,305.800,1766:12;1792:102;1793:102;1794:102;1795:102
50.0512,1788885362.0746,6,267.34,420.25,687.59,9.6,1445.7,61807.7,0.0,154.884,0.502,305.800,1766:12;1792:102;1793:102;1794:102;1795:102
50.1552,1788885362.1785,6,268.15,420.25,688.40,19.2,1446.7,61806.8,0.0,154.895,0.503,305.800,1766:12;1792:102;1793:102;1794:102;1795:102
50.2591,1788885362.2825,6,268.97,420.25,689.22,19.2,1447.5,61806.0,0.0,154.905,0.504,305.800,1766:12;1792:102;1793:102;1794:102;1795:102
50.3631,1788885362.3865,6,269.79,420.25,690.04,9.6,1448.2,61805.3,0.0,154.915,0.505,305.800,1766:12;1792:102;1793:102;1794:102;1795:102
50.4671,1788885362.4905,6,270.59,420.25,690.84,9.6,1448.7,61804.8,0.0,154.926,0.505,305.800,1766:12;1792:102;1793:102;1794:102;1795:102
50.5711,1788885362.5945,6,271.41,420.25,691.66,9.6,1449.7,61803.8,0.0,154.936,0.506,305.800,1766:12;1792:102;1793:102;1794:102;1795:102
50.6750,1788885362.6984,6,272.95,420.25,693.20,28.8,1451.1,61802.4,0.0,154.957,0.507,305.800,1766:12;1792:102;1793:102;1794:102;1795:102
50.7790,1788885362.8024,6,273.81,420.25,694.06,9.6,1452.2,61801.3,0.0,154.967,0.508,305.800,1766:12;1792:102;1793:102;1794:102;1795:102
50.8829,1788885362.9063,6,274.67,420.25,694.93,19.2,1453.1,61800.4,0.0,154.978,0.509,305.800,1766:12;1792:102;1793:102;1794:102;1795:102
50.9869,1788885363.0103,6,275.48,420.25,695.73,9.6,1453.9,61799.6,0.0,154.988,0.510,305.800,1766:12;1792:102;1793:102;1794:102;1795:102
51.0908,1788885363.1142,6,276.29,420.25,696.54,9.6,1453.1,61800.4,0.0,154.998,0.511,305.800,1766:12;1792:102;1793:102;1794:102;1795:102
51.1948,1788885363.2182,6,277.10,420.25,697.36,9.6,1453.8,61799.7,0.0,155.009,0.511,305.800,1766:12;1792:102;1793:102;1794:102;1795:102
51.2987,1788885363.3220,6,277.89,420.25,698.14,38.5,1454.2,61799.3,0.0,155.019,0.511,305.800,1766:12;1792:102;1793:102;1794:102;1795:102
51.4027,1788885363.4260,6,277.92,420.25,698.18,48.1,1454.6,61798.9,0.0,155.019,0.512,305.800,1766:12;1792:102;1793:102;1794:102;1795:102
51.5067,1788885363.5300,6,278.73,420.25,698.98,9.6,1455.1,61798.4,0.0,155.029,0.513,305.800,1766:12;1792:102;1793:102;1794:102;1795:102
51.6106,1788885363.6340,6,279.55,420.25,699.80,9.6,1456.0,61797.4,0.0,155.040,0.514,305.800,1766:12;1792:102;1793:102;1794:102;1795:102
51.7146,1788885363.7380,6,280.36,420.25,700.61,9.6,1457.0,61796.5,0.0,155.060,0.514,305.800,1766:12;1792:102;1793:102;1794:102;1795:102
51.8186,1788885363.8419,6,281.17,420.26,701.43,19.2,1457.8,61795.7,0.0,155.060,0.515,305.800,1766:12;1792:102;1793:102;1794:102;1795:102
51.9226,1788885363.9460,6,281.99,420.26,702.25,9.6,1458.7,61794.7,0.0,155.071,0.516,305.800,1766:12;1792:102;1793:102;1794:102;1795:102
52.0267,1788885364.0500,6,282.80,420.26,703.05,19.2,1457.9,61795.5,0.0,155.081,0.517,305.800,1766:12;1792:102;1793:102;1794:102;1795:102
52.1307,1788885364.1541,6,283.61,420.26,703.87,9.6,1458.7,61794.8,0.0,155.091,0.517,305.800,1766:12;1792:102;1793:102;1794:102;1795:102
52.2346,1788885364.2580,6,285.19,420.26,705.45,9.6,1460.1,61793.4,0.0,155.112,0.518,305.800,1766:12;1792:102;1793:102;1794:102;1795:102
52.3385,1788885364.3618,6,286.06,420.26,706.32,19.2,1461.1,61792.3,0.0,155.122,0.520,305.800,1766:12;1792:102;1793:102;1794:102;1795:102
52.4424,1788885364.4657,6,286.86,420.26,707.12,9.6,1461.6,61791.8,0.0,155.133,0.521,305.800,1766:12;1792:102;1793:102;1794:102;1795:102
52.5463,1788885364.5697,6,287.64,420.26,707.90,9.6,1463.4,61790.1,0.0,155.143,0.521,305.800,1766:12;1792:102;1793:102;1794:102;1795:102
52.6503,1788885364.6737,6,288.49,420.26,708.75,19.2,1464.6,61788.9,0.0,155.154,0.523,305.800,1766:12;1792:102;1793:102;1794:102;1795:102
52.7544,1788885364.7778,6,289.30,420.26,709.56,19.2,1465.3,61788.2,0.0,155.166,0.524,305.800,1766:12;1792:102;1793:102;1794:102;1795:102
52.8584,1788885364.8817,6,290.12,420.27,710.38,19.2,1466.3,61787.2,0.0,155.177,0.527,305.800,1766:12;1792:102;1793:102;1794:102;1795:102
52.9623,1788885364.9857,6,290.92,420.27,711.19,9.6,1467.0,61786.5,0.0,155.188,0.527,305.800,1766:12;1792:102;1793:102;1794:102;1795:102
53.0663,1788885365.0897,6,291.74,420.27,712.00,9.6,1466.4,61787.1,0.0,155.198,0.528,305.800,1766:12;1792:102;1793:102;1794:102;1795:102
53.1702,1788885365.1936,6,293.30,420.27,713.57,19.2,1467.8,61785.7,0.0,155.219,0.529,305.800,1766:12;1792:102;1793:102;1794:102;1795:102
53.2742,1788885365.2976,6,294.18,420.27,714.45,19.2,1468.9,61784.6,0.0,155.229,0.531,305.800,1766:12;1792:102;1793:102;1794:102;1795:102
53.3781,1788885365.4015,6,294.98,420.27,715.25,19.2,1470.6,61782.9,0.0,155.239,0.532,305.800,1766:12;1792:102;1793:102;1794:102;1795:102
53.4820,1788885365.5054,6,295.80,420.27,716.07,9.6,1471.3,61782.1,0.0,155.250,0.532,305.800,1766:12;1792:102;1793:102;1794:102;1795:102
53.5859,1788885365.6093,6,296.61,420.27,716.88,9.6,1482.6,61770.9,0.0,155.262,0.535,305.800,1766:12;1792:102;1793:102;1794:102;1795:102
53.6900,1788885365.7133,6,297.43,420.27,717.70,9.6,1483.3,61770.1,0.0,155.273,0.536,305.800,1766:12;1792:102;1793:102;1794:102;1795:102
53.7940,1788885365.8174,6,298.24,420.29,718.53,19.2,1485.2,61768.2,0.0,155.283,0.536,305.800,1766:12;1792:102;1793:102;1794:102;1795:102
53.8981,1788885365.9215,6,299.05,420.29,719.34,9.6,1486.0,61767.5,0.0,155.294,0.538,305.800,1766:12;1792:102;1793:102;1794:102;1795:102
54.0022,1788885366.0255,6,299.79,420.29,720.08,48.0,1486.7,61766.7,0.0,155.304,0.538,305.800,1766:12;1792:102;1793:102;1794:102;1795:102
54.1063,1788885366.1297,6,299.86,420.29,720.15,57.7,1486.0,61767.5,0.0,155.304,0.539,305.800,1766:12;1792:102;1793:102;1794:102;1795:102
54.2103,1788885366.2337,6,300.74,420.29,721.03,9.6,1486.9,61766.5,0.0,155.319,0.541,305.800,1766:12;1792:102;1793:102;1794:102;1795:102
54.3143,1788885366.3377,6,301.24,420.29,721.53,38.5,1486.9,61766.5,0.0,155.320,0.541,305.800,1766:12;1792:102;1793:102;1794:102;1795:102
54.4183,1788885366.4417,6,301.75,420.29,722.04,96.1,1486.6,61766.8,0.0,155.321,0.541,305.800,1766:12;1792:102;1793:102;1794:102;1795:102
54.5224,1788885366.5457,6,302.43,420.29,722.71,96.1,1488.2,61765.3,0.0,155.321,0.541,305.800,1766:12;1792:102;1793:102;1794:102;1795:102
54.6264,1788885366.6497,6,303.09,420.29,723.38,105.9,1488.2,61765.3,0.0,155.321,0.541,305.800,1766:12;1792:102;1793:102;1794:102;1795:102
54.7302,1788885366.7536,6,303.82,420.29,724.11,96.2,1490.2,61763.3,0.0,155.321,0.541,305.800,1766:12;1792:102;1793:102;1794:102;1795:102
54.8342,1788885366.8576,6,306.78,420.31,727.09,96.2,1494.1,61759.3,0.0,155.321,0.541,305.800,1766:12;1792:102;1793:102;1794:102;1795:102
54.9382,1788885366.9616,6,307.10,420.31,727.41,105.7,1494.1,61759.3,0.0,155.321,0.541,305.800,1766:12;1792:102;1793:102;1794:102;1795:102
55.0422,1788885367.0656,6,307.14,420.31,727.45,96.2,1493.5,61760.0,0.0,155.321,0.541,305.800,1766:12;1792:102;1793:102;1794:102;1795:102
55.1462,1788885367.1696,6,307.20,420.31,727.51,105.8,1492.4,61761.1,0.0,155.321,0.541,305.800,1766:12;1792:102;1793:102;1794:102;1795:102
55.2502,1788885367.2736,6,307.21,420.31,727.52,96.3,1492.4,61761.1,0.0,155.321,0.541,305.800,1766:12;1792:102;1793:102;1794:102;1795:102
55.3540,1788885367.3774,6,307.22,420.31,727.54,96.3,1492.4,61761.1,0.0,155.321,0.541,305.800,1766:12;1792:102;1793:102;1794:102;1795:102
55.4579,1788885367.4813,6,307.25,420.31,727.56,105.9,1492.4,61761.1,0.0,155.321,0.541,305.800,1766:12;1792:102;1793:102;1794:102;1795:102
55.5617,1788885367.5851,6,307.30,420.31,727.61,105.8,1492.4,61761.1,0.0,155.321,0.541,305.800,1766:12;1792:102;1793:102;1794:102;1795:102
55.6657,1788885367.6891,6,307.54,420.31,727.85,105.9,1492.4,61761.1,0.0,155.321,0.541,305.800,1766:12;1792:102;1793:102;1794:102;1795:102
55.7696,1788885367.7930,6,307.57,420.31,727.88,96.2,1492.4,61761.1,0.0,155.321,0.541,305.800,1766:12;1792:102;1793:102;1794:102;1795:102
55.8736,1788885367.8970,6,307.59,420.31,727.91,96.1,1492.4,61761.1,0.0,155.321,0.541,305.800,1766:12;1792:102;1793:102;1794:102;1795:102
55.9777,1788885368.0010,6,307.61,420.31,727.93,105.7,1492.4,61761.1,0.0,155.321,0.541,305.800,1766:12;1792:102;1793:102;1794:102;1795:102
56.0817,1788885368.1050,6,307.62,420.31,727.94,96.1,1491.5,61761.9,0.0,155.321,0.541,305.800,1766:12;1792:102;1793:102;1794:102;1795:102
56.1857,1788885368.2090,6,307.65,420.31,727.96,105.9,1491.5,61761.9,0.0,155.321,0.541,305.800,1766:12;1792:102;1793:102;1794:102;1795:102
56.2895,1788885368.3129,6,307.68,420.31,727.99,96.3,1491.5,61761.9,0.0,155.321,0.541,305.800,1766:12;1792:102;1793:102;1794:102;1795:102
56.3934,1788885368.4168,6,307.70,420.31,728.02,96.4,1491.5,61761.9,0.0,155.321,0.541,305.800,1766:12;1792:102;1793:102;1794:102;1795:102
56.4971,1788885368.5205,6,307.71,420.31,728.03,106.0,1491.5,61761.9,0.0,155.321,0.541,305.800,1766:12;1792:102;1793:102;1794:102;1795:102
56.6008,1788885368.6242,6,307.73,420.31,728.05,96.3,1491.5,61761.9,0.0,155.321,0.541,305.800,1766:12;1792:102;1793:102;1794:102;1795:102
56.7047,1788885368.7281,6,307.77,420.31,728.08,105.9,1491.5,61761.9,0.0,155.321,0.541,305.800,1766:12;1792:102;1793:102;1794:102;1795:102
56.8086,1788885368.8320,6,307.79,420.31,728.11,105.8,1491.5,61761.9,0.0,155.321,0.541,305.800,1766:12;1792:102;1793:102;1794:102;1795:102
56.9126,1788885368.9360,6,307.81,420.31,728.12,96.2,1491.5,61761.9,0.0,155.321,0.541,305.800,1766:12;1792:102;1793:102;1794:102;1795:102
57.0165,1788885369.0399,6,307.85,420.31,728.16,115.5,1490.0,61763.5,0.0,155.321,0.541,305.800,1766:12;1792:102;1793:102;1794:102;1795:102
57.1204,1788885369.1437,6,307.88,420.31,728.20,96.3,1490.0,61763.5,0.0,155.321,0.541,305.800,1766:12;1792:102;1793:102;1794:102;1795:102
57.2242,1788885369.2476,6,307.89,420.31,728.21,105.9,1490.0,61763.5,0.0,155.321,0.541,305.800,1766:12;1792:102;1793:102;1794:102;1795:102
57.3281,1788885369.3515,6,308.01,420.31,728.32,96.2,1490.0,61763.5,0.0,155.321,0.541,305.800,1766:12;1792:102;1793:102;1794:102;1795:102
57.4320,1788885369.4554,6,308.05,420.31,728.37,96.3,1490.0,61763.5,0.0,155.321,0.541,305.800,1766:12;1792:102;1793:102;1794:102;1795:102
57.5359,1788885369.5593,6,308.06,420.31,728.37,105.9,1490.0,61763.5,0.0,155.321,0.541,305.800,1766:12;1792:102;1793:102;1794:102;1795:102
57.6399,1788885369.6632,6,308.07,420.31,728.39,96.2,1490.0,61763.5,0.0,155.321,0.541,305.800,1766:12;1792:102;1793:102;1794:102;1795:102
57.7438,1788885369.7672,6,308.09,420.31,728.40,105.8,1490.0,61763.5,0.0,155.321,0.541,305.800,1766:12;1792:102;1793:102;1794:102;1795:102
57.8478,1788885369.8712,6,308.12,420.32,728.45,105.8,1490.0,61763.5,0.0,155.321,0.541,305.800,1766:12;1792:102;1793:102;1794:102;1795:102
57.9518,1788885369.9752,6,308.13,420.32,728.45,96.2,1490.0,61763.5,0.0,155.321,0.541,305.800,1766:12;1792:102;1793:102;1794:102;1795:102
58.0558,1788885370.0792,6,308.15,420.32,728.47,106.0,1488.6,61764.9,0.0,155.321,0.541,305.800,1766:12;1792:102;1793:102;1794:102;1795:102
58.1596,1788885370.1829,6,308.17,420.32,728.49,96.3,1488.6,61764.9,0.0,155.321,0.541,305.800,1766:12;1792:102;1793:102;1794:102;1795:102
58.2634,1788885370.2868,6,308.21,420.32,728.53,115.5,1488.6,61764.9,0.0,155.321,0.541,305.800,1766:12;1792:102;1793:102;1794:102;1795:102
58.3673,1788885370.3906,6,308.24,420.32,728.56,96.3,1488.6,61764.9,0.0,155.321,0.541,305.800,1766:12;1792:102;1793:102;1794:102;1795:102
58.4711,1788885370.4945,6,308.25,420.32,728.58,96.2,1488.6,61764.9,0.0,155.321,0.541,305.800,1766:12;1792:102;1793:102;1794:102;1795:102
58.5750,1788885370.5984,6,308.28,420.32,728.60,105.9,1488.6,61764.9,0.0,155.321,0.541,305.800,1766:12;1792:102;1793:102;1794:102;1795:102
58.6789,1788885370.7023,6,308.30,420.32,728.62,96.3,1488.6,61764.9,0.0,155.321,0.541,305.800,1766:12;1792:102;1793:102;1794:102;1795:102
58.7828,1788885370.8062,6,308.33,420.33,728.66,105.8,1488.6,61764.9,0.0,155.321,0.541,305.800,1766:12;1792:102;1793:102;1794:102;1795:102
58.8867,1788885370.9101,6,308.35,420.33,728.68,105.8,1488.6,61764.9,0.0,155.321,0.541,305.800,1766:12;1792:102;1793:102;1794:102;1795:102
58.9907,1788885371.0141,6,308.38,420.33,728.71,96.3,1488.6,61764.9,0.0,155.321,0.541,305.800,1766:12;1792:102;1793:102;1794:102;1795:102
59.0946,1788885371.1180,6,308.40,420.33,728.73,105.9,1487.4,61766.1,0.0,155.321,0.541,305.800,1766:12;1792:102;1793:102;1794:102;1795:102
59.1984,1788885371.2218,6,308.43,420.33,728.76,96.3,1487.4,61766.1,0.0,155.321,0.541,305.800,1766:12;1792:102;1793:102;1794:102;1795:102
59.3023,1788885371.3257,6,308.46,420.33,728.80,96.2,1487.4,61766.1,0.0,155.321,0.541,305.800,1766:12;1792:102;1793:102;1794:102;1795:102
59.4063,1788885371.4297,6,308.49,420.33,728.82,105.8,1487.4,61766.1,0.0,155.321,0.541,305.800,1766:12;1792:102;1793:102;1794:102;1795:102
59.5102,1788885371.5336,6,308.52,420.33,728.85,96.2,1487.4,61766.1,0.0,155.321,0.541,305.800,1766:12;1792:102;1793:102;1794:102;1795:102
59.6142,1788885371.6375,6,308.54,420.33,728.87,105.8,1487.4,61766.1,0.0,155.321,0.541,305.800,1766:12;1792:102;1793:102;1794:102;1795:102
59.7181,1788885371.7415,6,308.56,420.33,728.89,96.2,1487.4,61766.1,0.0,155.321,0.541,305.800,1766:12;1792:102;1793:102;1794:102;1795:102
59.8221,1788885371.8454,6,308.61,420.33,728.94,96.2,1487.4,61766.1,0.0,155.321,0.541,305.800,1766:12;1792:102;1793:102;1794:102;1795:102
59.9261,1788885371.9494,6,308.91,420.33,729.24,105.8,1487.4,61766.1,0.0,155.321,0.541,305.800,1766:12;1792:102;1793:102;1794:102;1795:102
60.0300,1788885372.0534,6,308.91,420.33,729.25,96.3,1486.4,61767.0,0.0,155.321,0.541,305.800,1766:12;1792:102;1793:102;1794:102;1795:102
60.1339,1788885372.1573,6,308.93,420.33,729.27,105.9,1486.4,61767.0,0.0,155.321,0.541,305.800,1766:12;1792:102;1793:102;1794:102;1795:102
60.2377,1788885372.2611,6,308.95,420.33,729.29,96.3,1486.4,61767.0,0.0,155.321,0.541,305.800,1766:12;1792:102;1793:102;1794:102;1795:102
60.3416,1788885372.3649,6,308.99,420.33,729.32,96.3,1486.4,61767.0,0.0,155.321,0.541,305.800,1766:12;1792:102;1793:102;1794:102;1795:102
60.4454,1788885372.4688,6,312.97,420.33,733.30,96.3,1493.9,61759.5,0.0,155.321,0.541,305.800,1766:12;1792:102;1793:102;1794:102;1795:102
60.5493,1788885372.5727,6,315.16,420.33,735.50,115.5,1493.9,61759.5,0.0,155.321,0.541,305.800,1766:12;1792:102;1793:102;1794:102;1795:102
60.6533,1788885372.6767,6,323.38,420.33,743.71,86.6,1501.4,61752.0,0.0,155.321,0.541,305.800,1766:12;1792:102;1793:102;1794:102;1795:102
60.7573,1788885372.7806,6,325.29,420.33,745.62,105.8,1502.2,61751.2,0.0,155.321,0.541,305.800,1766:12;1792:102;1793:102;1794:102;1795:102
60.8612,1788885372.8846,6,339.20,420.34,759.54,105.8,1516.8,61736.7,0.0,155.321,0.541,305.800,1766:12;1792:102;1793:102;1794:102;1795:102
60.9652,1788885372.9886,6,347.91,420.34,768.25,96.2,1524.7,61728.8,0.0,155.321,0.541,305.800,1766:12;1792:102;1793:102;1794:102;1795:102
61.0692,1788885373.0925,6,349.90,420.34,770.24,105.8,1526.3,61727.2,0.0,155.321,0.541,305.800,1766:12;1792:102;1793:102;1794:102;1795:102
